证券简称,报告期,归属母公司所有者净利润(元),营业利润(元),证券代码,营业成本(元),营业收入(元),每股经营现金流量(元),净资产收益率,每股净资产(元),每股收益(元),营业利润率,毛利率
精伦电子,2023-03-31,-12017521.72,-12008572.09,600355,21444505.67,26363134.29,0.025,-5.836,0.4185,-0.024421,-45.551,18.66
恒丰纸业,2023-03-31,25133305.27,32242129.47,600356,542486533.84,633857946.72,-0.083,1.036,8.1212,0.084133,5.087,14.42
国旅联合,2023-03-31,-1139945.67,-122605.96,600358,116001020.42,127584695.24,0.079,-0.622,0.3631,-0.002258,-0.096,9.08
新农开发,2023-03-31,48066165.8,48653423.53,600359,103683059.12,182011195.34,0.078,7.725,1.631,0.125988,26.731,43.03
华微电子,2023-03-31,5214403.12,7041430.89,600360,318567259.04,413190645.22,0.01,0.161,3.3826,0.00543,1.704,22.9
创新新材,2023-03-31,265789556.2,339888883.87,600361,15941083648.49,16495569072.09,-0.032,3.244,2.0464,0.066388,2.06,3.36
江西铜业,2023-03-31,1755051995.0,2051638523.0,600362,124460141547.0,127733316672.0,-1.156,2.281,22.2214,0.506841,1.606,2.56
联创光电,2023-03-31,94389635.96,109206862.02,600363,655487448.14,789247442.36,-0.38,2.505,8.2757,0.207347,13.837,16.95
ST通葡,2023-03-31,-9031593.2,-6644304.96,600365,188023930.15,226071582.65,-0.137,-2.724,0.7794,-0.021231,-2.939,16.83
宁波韵升,2023-03-31,18925598.55,9590691.86,600366,1284679656.97,1430065231.52,-0.016,0.307,5.5388,0.017014,0.671,10.17
红星发展,2023-03-31,-6414060.22,-3430697.7,600367,430801011.91,479883071.21,0.028,-0.371,5.9001,-0.021873,-0.715,10.23
五洲交通,2023-03-31,198033120.33,228577206.69,600368,136209138.71,367125289.54,0.321,3.356,5.2419,0.175931,62.261,62.9
