date,code,high,low,close,code_name
2022-11-21,sh.600519,1541.35,1498.53,1519.98,贵州茅台
2022-11-21,sh.601012,47.94,47.0,47.75,隆基绿能
2022-11-21,sh.688598,266.28,250.5,262.0,金博股份
2022-11-21,sz.002594,254.6,248.51,254.2,比亚迪
2022-11-21,sz.300316,69.39,66.79,68.36,晶盛机电
2022-11-22,sh.600036,32.88,31.8,32.45,招商银行
2022-11-22,sh.600389,43.44,42.51,42.89,江山股份
2022-11-22,sh.600519,1559.74,1516.11,1539.95,贵州茅台
2022-11-22,sh.601012,47.75,46.4,46.56,隆基绿能
2022-11-22,sh.688598,262.24,248.25,252.28,金博股份
2022-11-22,sz.002594,255.25,250.0,250.49,比亚迪
2022-11-22,sz.300316,68.47,66.19,66.4,晶盛机电
2022-11-23,sh.600036,32.95,32.15,32.22,招商银行
2022-11-23,sh.600389,44.33,42.3,43.18,江山股份
2022-11-23,sh.600519,1557.0,1521.04,1549.0,贵州茅台
2022-11-23,sh.601012,47.8,46.04,47.59,隆基绿能
2022-11-23,sh.688598,272.0,245.5,268.99,金博股份
2022-11-23,sz.002594,251.5,247.2,251.5,比亚迪
2022-11-23,sz.300316,69.58,66.1,69.02,晶盛机电
2022-11-24,sh.600036,32.87,32.08,32.22,招商银行
2022-11-24,sh.600389,44.86,43.0,44.74,江山股份
2022-11-24,sh.600519,1568.88,1513.98,1519.99,贵州茅台
2022-11-24,sh.601012,47.8,47.1,47.15,隆基绿能
2022-11-24,sh.688598,271.53,261.0,261.76,金博股份
2022-11-24,sz.002594,255.0,248.28,249.39,比亚迪
2022-11-24,sz.300316,70.62,68.6,68.68,晶盛机电
2022-11-25,sh.600036,33.22,32.18,33.02,招商银行
2022-11-25,sh.600389,44.88,43.74,43.84,江山股份
2022-11-25,sh.600519,1532.0,1510.0,1522.01,贵州茅台
2022-11-25,sh.601012,47.0,45.66,45.73,隆基绿能
2022-11-25,sh.688598,262.57,255.02,256.83,金博股份
2022-11-25,sz.002594,249.0,245.0,245.05,比亚迪
2022-11-25,sz.300316,69.18,66.38,66.75,晶盛机电
2022-11-28,sh.600036,32.11,31.45,31.96,招商银行
2022-11-28,sh.600389,43.29,41.55,42.1,江山股份
2022-11-28,sh.600519,1515.0,1451.0,1509.88,贵州茅台
2022-11-28,sh.601012,44.97,44.03,44.59,隆基绿能
2022-11-28,sh.688598,262.48,249.99,260.18,金博股份
2022-11-28,sz.002594,245.13,237.22,245.11,比亚迪
2022-11-28,sz.300316,66.66,64.74,65.27,晶盛机电
2022-11-29,sh.600036,34.91,32.75,34.86,招商银行
2022-11-29,sh.600389,43.25,41.81,43.08,江山股份
2022-11-29,sh.600519,1600.0,1551.0,1599.0,贵州茅台
2022-11-29,sh.601012,45.45,44.37,44.96,隆基绿能
2022-11-29,sh.688598,262.52,257.18,261.75,金博股份
2022-11-29,sz.002594,249.68,243.0,248.3,比亚迪
2022-11-29,sz.300316,65.88,63.91,64.65,晶盛机电
2022-11-30,sh.600036,35.44,34.2,34.96,招商银行
2022-11-30,sh.600389,43.7,42.57,42.75,江山股份
2022-11-30,sh.600519,1604.0,1585.0,1599.0,贵州茅台
2022-11-30,sh.601012,45.78,44.68,45.78,隆基绿能
2022-11-30,sh.688598,271.49,259.96,262.35,金博股份
2022-11-30,sz.002594,260.0,246.48,259.52,比亚迪
2022-11-30,sz.300316,64.66,62.88,64.5,晶盛机电
2022-12-01,sh.600036,36.5,34.85,35.0,招商银行
2022-12-01,sh.600389,44.06,42.91,43.03,江山股份
2022-12-01,sh.600519,1680.0,1630.79,1630.8,贵州茅台
2022-12-01,sh.601012,47.5,46.51,47.01,隆基绿能
2022-12-01,sh.688598,269.7,263.31,265.66,金博股份
2022-12-01,sz.002594,270.95,264.92,266.66,比亚迪
2022-12-01,sz.300316,65.5,64.06,64.75,晶盛机电
2022-12-02,sh.600036,35.0,34.16,34.39,招商银行
2022-12-02,sh.600389,43.04,42.0,42.3,江山股份
2022-12-02,sh.600519,1652.99,1621.2,1633.88,贵州茅台
2022-12-02,sh.601012,48.4,46.69,47.98,隆基绿能
2022-12-02,sh.688598,272.55,262.0,266.8,金博股份
2022-12-02,sz.002594,267.57,260.48,262.08,比亚迪
2022-12-02,sz.300316,65.48,63.56,63.72,晶盛机电
2022-12-05,sh.600036,36.1,34.61,36.1,招商银行
2022-12-05,sh.600389,42.88,42.1,42.82,江山股份
2022-12-05,sh.600519,1679.0,1649.0,1664.9,贵州茅台
2022-12-05,sh.601012,47.93,46.0,46.36,隆基绿能
2022-12-05,sh.688598,269.22,258.0,260.78,金博股份
2022-12-05,sz.002594,267.59,261.9,263.36,比亚迪
2022-12-05,sz.300316,65.53,63.5,65.39,晶盛机电
2022-12-06,sh.600036,35.98,35.42,35.85,招商银行
2022-12-06,sh.600389,45.54,42.22,44.91,江山股份
2022-12-06,sh.600519,1726.9,1652.0,1688.0,贵州茅台
2022-12-06,sh.601012,46.55,45.49,45.86,隆基绿能
2022-12-06,sh.688598,268.99,257.2,263.87,金博股份
2022-12-06,sz.002594,271.63,260.01,267.6,比亚迪
2022-12-06,sz.300316,67.86,65.0,67.41,晶盛机电
2022-12-07,sh.600036,35.95,35.3,35.32,招商银行
2022-12-07,sh.600389,46.8,44.95,45.61,江山股份
2022-12-07,sh.600519,1720.0,1670.03,1684.0,贵州茅台
2022-12-07,sh.601012,46.44,45.28,45.93,隆基绿能
2022-12-07,sh.688598,271.59,261.06,268.22,金博股份
2022-12-07,sz.002594,278.28,267.65,273.74,比亚迪
2022-12-07,sz.300316,70.8,66.47,70.0,晶盛机电
2022-12-08,sh.600036,35.77,35.16,35.45,招商银行
2022-12-08,sh.600389,46.56,44.5,46.0,江山股份
2022-12-08,sh.600519,1695.0,1665.0,1687.02,贵州茅台
2022-12-08,sh.601012,47.17,45.88,46.5,隆基绿能
2022-12-08,sh.688598,275.66,266.01,271.01,金博股份
2022-12-08,sz.002594,275.0,270.87,274.29,比亚迪
2022-12-08,sz.300316,70.7,68.67,70.66,晶盛机电
2022-12-09,sh.600036,36.93,35.63,36.75,招商银行
2022-12-09,sh.600389,46.44,45.54,46.44,江山股份
2022-12-09,sh.600519,1730.0,1682.0,1730.0,贵州茅台
2022-12-09,sh.601012,46.65,46.01,46.3,隆基绿能
2022-12-09,sh.688598,273.0,263.5,264.43,金博股份
2022-12-09,sz.002594,277.7,271.45,274.7,比亚迪
2022-12-09,sz.300316,70.78,69.0,70.78,晶盛机电
2022-12-12,sh.600036,36.6,35.68,35.79,招商银行
2022-12-12,sh.600389,46.63,45.1,45.52,江山股份
2022-12-12,sh.600519,1766.0,1715.0,1739.02,贵州茅台
2022-12-12,sh.601012,46.18,45.36,45.49,隆基绿能
2022-12-12,sh.688598,266.0,253.06,258.67,金博股份
2022-12-12,sz.002594,273.47,268.0,269.88,比亚迪
2022-12-12,sz.300316,70.89,69.79,70.49,晶盛机电
2022-12-13,sh.600036,36.26,35.61,36.14,招商银行
2022-12-13,sh.600389,46.77,45.42,45.72,江山股份
2022-12-13,sh.600519,1760.69,1730.0,1750.0,贵州茅台
2022-12-13,sh.601012,45.72,44.8,44.9,隆基绿能
2022-12-13,sh.688598,259.99,246.86,248.5,金博股份
2022-12-13,sz.002594,275.0,269.5,269.8,比亚迪
2022-12-13,sz.300316,70.88,69.15,69.47,晶盛机电
2022-12-14,sh.600036,37.04,36.02,36.91,招商银行
2022-12-14,sh.600389,46.2,44.7,45.12,江山股份
2022-12-14,sh.600519,1780.8,1743.0,1770.87,贵州茅台
2022-12-14,sh.601012,45.28,44.25,44.63,隆基绿能
2022-12-14,sh.688598,251.0,244.46,247.01,金博股份
2022-12-14,sz.002594,269.44,263.6,266.4,比亚迪
2022-12-14,sz.300316,70.8,68.68,69.26,晶盛机电
2022-12-15,sh.600036,36.96,36.22,36.33,招商银行
2022-12-15,sh.600389,45.18,44.0,44.71,江山股份
2022-12-15,sh.600519,1816.0,1780.0,1786.99,贵州茅台
2022-12-15,sh.601012,45.19,44.3,45.18,隆基绿能
2022-12-15,sh.688598,248.0,239.21,246.71,金博股份
2022-12-15,sz.002594,272.28,263.51,271.46,比亚迪
2022-12-15,sz.300316,70.19,68.7,70.13,晶盛机电
2022-12-16,sh.600036,37.2,36.3,37.09,招商银行
2022-12-16,sh.600389,44.92,44.23,44.25,江山股份
2022-12-16,sh.600519,1791.0,1743.0,1786.87,贵州茅台
2022-12-16,sh.601012,45.06,44.3,44.63,隆基绿能
2022-12-16,sh.688598,246.0,238.0,239.6,金博股份
2022-12-16,sz.002594,271.37,267.55,270.51,比亚迪
2022-12-16,sz.300316,71.1,68.62,69.5,晶盛机电
2022-12-19,sh.600036,37.34,36.25,36.5,招商银行
2022-12-19,sh.600389,44.58,43.5,43.8,江山股份
2022-12-19,sh.600519,1798.8,1760.17,1773.0,贵州茅台
2022-12-19,sh.601012,45.27,44.36,44.6,隆基绿能
2022-12-19,sh.688598,241.99,231.09,234.29,金博股份
2022-12-19,sz.002594,275.0,265.61,266.5,比亚迪
2022-12-19,sz.300316,70.39,68.0,69.65,晶盛机电
2022-12-20,sh.600036,36.55,35.3,35.72,招商银行
2022-12-20,sh.600389,43.94,43.3,43.74,江山股份
2022-12-20,sh.600519,1765.33,1682.45,1715.0,贵州茅台
2022-12-20,sh.601012,44.88,44.04,44.8,隆基绿能
2022-12-20,sh.688598,236.87,230.18,233.31,金博股份
2022-12-20,sz.002594,265.9,258.68,261.6,比亚迪
2022-12-20,sz.300316,69.97,68.03,68.2,晶盛机电
