code,pubdate,statdate,updatedate,resstotalasset,ressnetasset,ressepschgpct,ressroewa,ressepsdiluted,ressgryoy,ressopyoy
sh.601702,2022-03-01,2021-12-31,2022-03-01,6555010000.0,3120470000.0,0.548387,16.65,0.48,0.594842,0.925675
sh.601717,2021-03-06,2020-12-31,2021-03-06,33636000000.0,13050000000.0,0.181667,9.71,0.709,0.032944,0.270989
sh.601717,2022-03-05,2021-12-31,2022-03-05,36742200000.0,14877600000.0,0.53986,13.77,1.101,0.105956,0.345996
sh.601717,2022-10-20,2022-09-30,2022-10-20,41821700000.0,17122500000.0,0.243094,12.46,1.125,0.081763,0.095973
sh.601718,2016-04-12,2015-12-31,2016-04-12,25515900000.0,12851200000.0,-0.000811,9.26,0.3,4169.46,-1.32087
sh.601727,2020-04-01,2019-12-31,2020-04-01,280524000000.0,63345900000.0,0.15,5.79,0.23,0.260499,0.146047
sh.601727,2022-03-31,2021-12-31,2022-03-31,300802000000.0,58134300000.0,-3.56,-15.69,-0.64,-0.042956,-2.78763
sh.601728,2021-07-14,2020-03-31,2021-07-14,0.0,0.0,0.0,0.0,0.0,-0.015741,-0.010205
sh.601728,2021-07-14,2021-03-31,2021-07-14,713728000000.0,369845000000.0,0.0,0.0,0.0,0.126788,0.141687
sh.601777,2017-04-10,2016-12-31,2017-04-10,29380300000.0,6732800000.0,-0.215953,1.22,0.07,6.0954,-0.964707
sh.601777,2019-03-19,2018-12-31,2019-03-19,30614700000.0,7599740000.0,0.357143,3.41,0.19,-0.126559,0.419619
sh.601778,2020-04-23,2019-12-31,2020-04-30,29616900000.0,0.0,0.0,0.0,0.0,-0.244312,-0.235816
sh.601778,2021-03-20,2020-12-31,2021-03-20,29258500000.0,11117400000.0,-0.382353,5.29,0.21,-0.328791,-0.252351
sh.601788,2015-01-20,2014-12-31,2015-01-20,115769000000.0,25806100000.0,0.54642,8.59,0.6066,0.628632,2.56138
sh.601788,2016-01-20,2015-12-31,2016-01-20,197041000000.0,40571900000.0,1.44984,23.9,2.1599,1.49932,2.47901
sh.601788,2017-01-21,2016-12-31,2017-01-21,179513000000.0,47315700000.0,-0.991997,7.43,0.75,-0.445739,-0.600886
sh.601788,2018-01-20,2017-12-31,2018-01-20,207691000000.0,48685700000.0,0.004178,6.28,0.6576,0.070223,0.085085
sh.601788,2020-01-23,2019-12-31,2020-01-23,203793000000.0,47425000000.0,4.35714,1.17,0.12,0.29355,0.649873
sh.601788,2020-08-08,2020-06-30,2020-08-08,205038000000.0,49353100000.0,0.346705,4.44,0.47,0.077466,0.180349
sh.601788,2021-07-22,2021-06-30,2021-07-22,246139000000.0,56806200000.0,0.028498,4.29,0.48,0.266618,-0.006296
sh.601788,2023-02-15,2022-12-31,2023-02-15,258410000000.0,63993000000.0,-0.152778,5.25,0.61,-0.354558,-0.288771
sh.601789,2015-03-28,2014-12-31,2015-03-28,10368700000.0,2175480000.0,-0.087606,8.68,0.3768,0.433276,-0.273395
sh.601789,2016-04-13,2015-12-31,2016-04-13,12229800000.0,2300480000.0,0.014543,0.0,0.3914,-0.026985,0.01262
sh.601789,2017-03-31,2016-12-31,2017-03-31,13033700000.0,2441820000.0,0.004489,8.0,0.2002,0.031603,0.032624
sh.601789,2019-03-28,2018-12-31,2019-03-28,14595000000.0,2739090000.0,0.046533,8.41,0.2294,0.053952,-0.001799
sh.601789,2023-03-29,2022-12-31,2023-03-29,24768300000.0,5067600000.0,-0.249133,8.27,0.3032,0.025566,-0.205231
sh.601799,2021-03-10,2020-12-31,2021-03-10,11446000000.0,5943320000.0,0.46448,21.82,4.189,0.190294,0.459336
sh.601801,2015-03-05,2014-12-31,2015-03-05,7205580000.0,5147400000.0,0.096685,14.28,0.76,0.270725,0.136143
sh.601801,2019-04-13,2018-12-31,2019-04-13,13234500000.0,10078700000.0,0.035714,11.75,0.58,0.128876,0.035888
sh.601801,2021-02-04,2020-12-31,2021-02-04,14734800000.0,10735500000.0,0.107143,5.87,0.31,0.023251,0.090724
sh.601816,2022-02-26,2021-12-31,2022-02-26,295252000000.0,186849000000.0,0.473684,2.6,0.098,0.161072,0.550006
