证券简称,报告期,归属母公司所有者净利润(元),营业利润(元),证券代码,营业成本(元),营业收入(元),每股经营现金流量(元),净资产收益率,每股净资产(元),每股收益(元),营业利润率,毛利率
*ST沈机,2023-03-31,-34712246.08,-34188644.44,000410,346180572.87,377565932.45,-0.029,-3.554,0.473,-0.016812,-9.055,8.31
英特集团,2023-03-31,68312123.23,156523153.3,000411,7400781605.89,7901790697.96,-4.17,1.834,7.1632,0.220717,1.981,6.34
东旭光电,2023-03-31,-225232367.09,-218999297.08,000413,1056954144.98,1141123417.11,0.016,-1.005,3.98,-0.039986,-19.192,7.38
渤海租赁,2023-03-31,245687000.0,538706000.0,000415,3239355000.0,6509997000.0,0.894,0.896,4.4334,0.039726,8.275,50.24
*ST民控,2023-03-31,-646957.32,-2167095.55,000416,0.0,1435613.64,-0.008,-0.076,1.606,-0.001216,-150.953,
合肥百货,2023-03-31,96602942.66,161244795.97,000417,1407478118.2,1968705804.18,0.248,2.231,5.5532,0.123868,8.19,28.51
通程控股,2023-03-31,30092991.97,48790602.49,000419,366217697.76,496766557.58,-0.18,0.945,5.8574,0.05536,9.822,26.28
吉林化纤,2023-03-31,12077686.08,2099167.92,000420,644319277.68,741218928.59,0.017,0.278,1.7661,0.004912,0.283,13.07
南京公用,2023-03-31,-2174821.01,910963.15,000421,1222812869.16,1366402000.34,2.779,-0.076,4.958,-0.003761,0.067,10.51
湖北宜化,2023-03-31,220099824.27,294399719.32,000422,4110643743.56,4718236820.44,1.063,4.482,5.4689,0.245136,6.24,12.88
东阿阿胶,2023-03-31,230335474.7,278978406.83,000423,312346457.62,1069042839.05,1.037,2.181,16.1456,0.352183,26.096,70.78
徐工机械,2023-03-31,1523350581.21,1679560694.92,000425,18424458207.21,23812986104.02,0.068,2.824,4.565,0.128921,7.053,22.63
兴业矿业,2023-03-31,13990219.8,25533667.45,000426,286427425.46,458991934.99,0.071,0.251,3.0314,0.007615,5.563,37.6
华天酒店,2023-03-31,-43838419.23,-60401716.05,000428,113021400.19,133042474.07,0.004,-2.486,1.7304,-0.043024,-45.4,15.05
